,L_B,C_A,M_A,I_B,DmI_A,Dm_A,Dc_A,L_A,C_B,M_B,I_A,DmI_B,Dm_B,Dc_B
L_B,0.355929641918944,0.2303592801019719,0.5050761500605914,0.8782931924317443,1.748433639855233,0.7637980335231646,0.24809842606400187,0.009278038093071764,0.10230695112025835,0.24494254390582837,0.03375818036577042,0.0576295946339527,0.06652624279802083,0.08183181233142404
C_A,0.28063262817735224,0.34717362108076516,0.2946481708647073,0.5204405243054738,1.2887350610006625,0.43251581399498407,0.17532126938440015,0.14972440053867325,0.0070934136971170965,0.0836598470640115,0.046260335362331845,0.6168241770796868,0.33056353268364724,0.03576966081917582
M_A,0.007483584828068062,0.0063615336981004906,0.33141581631675293,0.00027787553960877787,0.021332077565726262,0.0009809837617369814,2.5151159680796433e-06,0.008494904139589475,0.0008842776078959003,0.026647544607054725,0.06314906400092406,0.4523828371115674,0.05975637182695308,4.245898608017081e-05
I_B,0.006387902149893688,0.005830274875153186,0.028426058368408016,3.3264604177650054e-05,0.006722016349384288,0.7093743251773507,0.2106740125600603,0.0010783818472815425,0.0004321218033651224,0.0005326531877252064,0.00014270226204760665,0.00025086694464634637,0.25947350853918966,0.5001946795440866
DmI_A,0.000977510209923641,0.0019572625192979054,0.046655153743235235,7.367682192656123e-05,0.010191602153449688,7.509342784000125e-05,1.2393070900191905e-16,0.0004973321763390509,0.00016828853272068706,0.0008295697741918494,0.032814377624507764,0.04505701724285915,0.002953701261813595,3.026918236013983e-14
Dm_A,0.00573065474493045,0.012721385187717605,0.18499167724812787,4.1760061932111424e-05,0.0004187845092714591,0.0006639550921032808,3.7207201450670046e-17,0.0006104283246654026,0.00030665253123310626,0.0009301382126114908,0.15862885814602087,0.2066566331953773,4.319766577810362e-05,1.8711063026294603e-05
Dc_A,0.0023771815201941585,0.01355751171405198,0.04235015392034606,1.3375028403562137e-05,2.8051087236507185e-05,5.9183372687209936e-05,0.0006460059246440557,4.2514482406654956e-19,3.108097748476214e-05,6.933016576773308e-06,0.26311823694468417,0.15154993982578374,0.015828874858150817,1.6494364729657503e-30
L_A,0.008476317455804499,0.10068698760778785,0.2503199029838082,0.03332322647248348,0.06240387234764652,0.07365814159445712,0.09055908625762808,0.3537583163555104,0.23382540356908366,0.5104542759263144,0.8623468213948885,1.7480674508625689,0.775439739305667,0.24902752000805276
C_B,0.14642823370582322,0.0066890331658360554,0.08403974575665087,0.04416320682359765,0.6274207291628158,0.3300569640945468,0.03357308102761167,0.2817109916112191,0.3497323711189353,0.2859386689621694,0.5176584770436641,1.295329057584047,0.4434225452072201,0.1808917127918846
M_B,0.009233576220818149,0.0007398889233237501,0.026439811882496302,0.06205537893912714,0.4495120135266366,0.060675825435952575,3.855666414145742e-05,0.007252780501497395,0.006616255170366511,0.3318230441373047,0.0003946240215831299,0.02219520298869438,0.001079426663804014,3.537779949917695e-05
I_A,0.0006413587412948561,0.0003897039015419335,0.0005083204853544879,1.6871007010042506e-06,0.002228841285056351,0.26562387369408674,0.4981675051379587,0.006561171423967454,0.0053967342319017715,0.03401543974890823,0.00010631698670954915,0.010340717082082802,0.7147792311020137,0.20245384768552294
DmI_B,0.0005244856139041612,0.0001749390055962987,0.0006048695486412027,0.032748079163809216,0.04303187420645314,0.0030893032258948595,2.1384389190793654e-05,0.000941553432169126,0.001944075707741879,0.04767166091029071,4.8986251396043e-05,0.0076488030621858025,0.00013329281805235152,9.843468453926136e-13
Dm_B,0.0006908483442656652,0.0003317507090361511,0.000683258461251258,0.1584310294432115,0.20322549959827976,0.00043927563541429576,1.689155924989421e-05,0.006192164194637708,0.01231068958917827,0.18552529379065597,0.00013643034944779199,0.0006855591837619148,0.00027203904875442125,1.8614566149628465e-15
Dc_B,3.0153879086878235e-08,3.44148097930962e-05,2.801799251014078e-05,0.26196746100178425,0.15425506726173907,0.017732230481665872,4.534615987393281e-22,0.0025820984073184126,0.013721899363400274,0.0445420760253436,0.00011397900604854181,0.0001937635420711066,4.092195095507561e-05,0.0006529922902646077
