,eta1,rvp,rvx,rvxe,dt_cont,dt_alt,dt_avg,duration,chgavg,ndfpr,spot_avg,Date,M,S1,Volume
0,0.2637850755606396,0.004479668340881835,0.003278914244772675,0.003253763399046447,6.147982462,4.55607282,5.107089886,7.346137748122321,0.5067831175740379,11278.0,12104.55887046724,2018-01-02,52271.0,0.978632643607165,171330.0
1,0.2946858265285612,0.004459901184954171,0.0034920893499803493,0.003423890431910273,6.666608805,4.915563971,5.563147354,7.446853779986824,0.5152144513137558,10352.0,12075.711049937216,2018-01-03,48659.0,0.9714434384431262,162837.0
2,0.30098096390645007,0.004676074820242413,0.0036634404104728185,0.0036279890176315077,5.48192533,4.396086974,4.803022605,6.734124356154769,0.5097172408040704,11989.0,12111.623019182653,2018-01-04,53804.0,0.9724748233879453,184455.0
3,0.30614701781351666,0.005228446012144669,0.004201475119805625,0.004091218197788753,4.554070072,4.078220035,4.25958426,5.397686414307499,0.5233323472859045,13522.0,12098.956333653776,2018-01-05,55357.0,0.9567769868643135,170120.0
4,0.2713074216871193,0.004270990635546171,0.003221854385140092,0.0031461139913852047,7.203725101,5.313680639,5.977052869,8.18265983921788,0.5087173100871731,9636.0,12029.525422849434,2018-01-08,49717.0,0.9793573791787606,174181.0
5,0.2821563229663431,0.004388926967246507,0.0033171779593098106,0.0032969946732694824,6.590142401,4.767388065,5.423511415,7.8097202798914935,0.506638418079096,10620.0,11982.522926278129,2018-01-09,52603.0,0.9813505069672053,175452.0
6,0.3202958618871903,0.0057536660868395045,0.004629712788704558,0.004605060240993483,3.663574444,2.84634031,3.164695048,4.514116781707024,0.5084340659340659,18200.0,12022.459233009175,2018-01-10,82354.0,0.9764057088113194,267225.0
7,0.3069585778103204,0.0061073533716071455,0.004828270641606122,0.00478528638227531,3.369457987,2.558966097,2.866053718,3.987723141190081,0.5125454273908499,20087.0,12050.603967542811,2018-01-11,83341.0,0.9663866569271975,287611.0
8,0.3213589662818742,0.007583055742346653,0.006233123272919466,0.006079312343093644,2.338098609,1.824167193,2.024711296,2.5338998112780553,0.5246809408290265,28443.0,12175.46044860076,2018-01-12,111045.0,0.9553700182781774,356700.0
9,0.38366524090847837,0.005281148753187854,0.004672984577233219,0.004626149097826527,3.086692352,2.806199976,2.92835077,5.115046910014659,0.522912147505423,14752.0,12304.703450145733,2018-01-15,51020.0,0.9609478368950723,165772.0
10,0.319323096941391,0.005668108870194447,0.004569061867710364,0.004529688606936206,3.702044608,2.953168204,3.243324543,4.462297697719485,0.5146478873239436,17750.0,12274.587572531125,2018-01-18,71628.0,0.9602398367069229,198362.0
11,0.35273911771466787,0.005831625387622013,0.004956262620596875,0.004898142637507911,3.415805616,2.973033284,3.155794122,4.201508072996997,0.5182171816787201,18252.0,12295.102202377691,2018-01-19,72517.0,0.9614574853325099,196318.0
